-1,156| 3,937| -1,156| 2,502
-1,156| 2,502| -0,318| 2,502
-0,318| 2,502| -0,318| 1,924
-0,318| 1,924| -1,156| 1,924
-1,156| 1,924| -1,156| 1,295
-1,156| 1,295| -0,318| 1,295
-0,318| 1,295| -0,318| 0,718
-0,318| 0,718| -1,156| 0,718
-1,156| 0,718| -1,156| 0,572
-1,156| 0,572| -0,610| 0,572
-0,610| 0,572| -0,610| -0,203
-0,610| -0,203| -1,156| -0,203
-1,156| -0,203| -1,156| -0,337
-1,156| -0,337| -0,318| -0,337
-0,318| -0,337| -0,318| -0,914
-0,318| -0,914| -1,156| -0,914
-1,156| -0,914| -1,156| -1,600
-1,156| -1,600| -0,318| -1,600
-0,318| -1,600| -0,318| -2,178
-0,318| -2,178| -1,156| -2,178
-1,156| -2,178| -1,156| -3,988
-1,156| -3,988| -0,972| -3,988
-0,972| -3,988| -0,972| -3,200
-0,972| -3,200| -0,394| -3,200
-0,394| -3,200| -0,394| -3,988
-0,394| -3,988| 0,286| -3,988
0,286| -3,988| 0,286| -3,200
0,286| -3,200| 0,889| -3,200
0,889| -3,200| 0,889| -3,175
0,889| -3,175| 1,467| -3,175
1,467| -3,175| 1,467| -3,988
1,467| -3,988| 1,740| -3,988
1,740| -3,988| 1,740| -1,562
1,740| -1,562| 2,305| -1,562
2,305| -1,562| 2,305| -2,311
2,305| -2,311| 2,972| -2,311
2,972| -2,311| 2,972| -1,562
2,972| -1,562| 3,550| -1,562
3,550| -1,562| 3,550| -1,467
3,550| -1,467| 4,350| -1,467
4,350| -1,467| 4,350| -1,041
4,350| -1,041| 4,629| -1,041
4,629| -1,041| 4,629| -0,953
4,629| -0,953| 5,328| -0,953
5,328| -0,406| 4,629| -0,406
4,629| -0,406| 4,629| -0,146
4,629| -0,146| 3,696| -0,146
3,696| -0,146| 3,696| 0,171
3,696| 0,171| 3,861| 0,171
3,861| 0,171| 3,861| 0,756
3,861| 0,756| 5,328| 0,756
5,328| 1,403| 3,861| 1,403
3,861| 1,403| 3,861| 2,553
3,861| 2,553| 5,436| 2,553
2,972| -2,311| 8,293| -2,311
8,293| -2,311| 8,293| 3,937
8,293| 3,937| 2,375| 3,937
2,375| 3,937| 2,375| 3,213
2,375| 3,213| 0,641| 3,213
0,641| 3,213| 0,641| 3,937
0,641| 3,937| 0,032| 3,937
0,032| 3,937| 0,032| 3,213
0,032| 3,213| -0,546| 3,213
-0,546| 3,213| -0,546| 3,937
-0,546| 3,937| -1,156| 3,937
