0.059361,0.006643,0.236605,4.438169
0.236605,4.438169,5.290889,4.174346
5.290889,4.174346,5.275238,2.273283
5.266023,2.248210,5.985002,2.268566
7.120158,3.188983,7.426600,1.041474
7.426600,1.041474,6.505749,1.052621
6.497820,1.069765,6.459028,0.073695
6.459028,0.073695,4.860129,0.020983
4.860129,0.020983,4.853699,-0.190103
4.853699,-0.190103,5.114931,-0.214963
5.114931,-0.214963,5.102072,-0.637136
5.102072,-0.637136,6.394949,-0.642712
6.394949,-0.642712,6.407375,-1.344548
6.407375,-1.344548,7.216146,-1.428343
7.216146,-1.428343,7.218072,-2.197468
7.218072,-2.197468,7.150782,-2.186967
7.150782,-2.186967,7.066128,-3.578851
7.066128,-3.578851,7.132132,-3.631569
7.132132,-3.631569,7.145845,-4.291187
7.145845,-4.291187,6.519229,-4.331259
6.519229,-4.331259,6.472941,-4.186177
6.472941,-4.186177,5.949190,-4.178675
5.949190,-4.178675,5.927975,-4.042808
5.927975,-4.042808,3.747249,-4.052443
3.764393,-4.044514,3.718531,-4.440327
3.718531,-4.440327,3.416367,-4.371964
3.416367,-4.371964,3.155994,-3.763992
3.155994,-3.763992,0.485806,-3.750266
0.493735,-3.767411,0.554175,-1.783199
0.554175,-1.783199,-2.047437,-1.737758
-2.047437,-1.737758,-1.989788,-1.232437
-1.989788,-1.232437,-2.268165,-1.215506
-2.268165,-1.215506,-2.207084,-0.042637
-2.207084,-0.042637,2.319377,-0.155163
2.319377,-0.155163,2.323235,-0.028511
2.323235,-0.028511,0.000000,0.000000
1.939868,4.310226,1.856926,2.419664
1.856926,2.419664,1.603622,2.427379
1.430256,3.117214,0.783710,3.255227
0.589981,2.999138,0.501689,2.875058
5.402969,4.246993,5.291096,2.238995
5.283167,2.256139,5.950714,2.252708
6.721772,3.150411,6.539830,3.003830
6.799777,2.936752,6.529116,3.206987
3.251814,3.543452,3.108019,3.539381
3.177881,3.613314,3.139735,3.470804
4.346892,3.425582,4.254527,3.445298
4.282172,3.520518,4.279601,3.436083
